No.,Question,Image,Image_1,Options,Answer,Topic,Level,Paper,Difficulty,Objective,Unique identifier
4,"What is the main reason an economy is unlikely to rely completely on market forces to allocate resources? 
",9708_m24_qp_12_4.png,,"A Demerit goods will be over supplied.
B Merit goods will be under supplied.
C Private goods will not be supplied.
D Public goods will not be supplied. ",D,Topic 3: Government microeconomic intervention,AS,9708_m24_qp_12,Easy,Understanding,9708_m24_qp_12_4
5,What is the opportunity cost to a person of spending $20 on a new pair of sports shoes?,9708_m24_qp_12_5.png,,"A all the other things the person could have bought
B the cost of getting to the sports shop
C the current value of the person’s old pair of shoes
D the next best thing that could have been bought with the $20 ",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_m24_qp_12,Easy,Recall,9708_m24_qp_12_5
6,What is the definition of effective demand?,9708_m24_qp_12_6.png,,"A demand that is speculative
B demand that is supported by the ability to pay
C the relationship between price and quantity demanded
D the total amount demanded by consumers ",B,Topic 2: The price system and the microeconomy,AS,9708_m24_qp_12,Easy,Recall,9708_m24_qp_12_6
7,"The price elasticity of demand for good X is –2.4, its income elasticity of demand is –0.4 and the cross elasticity of demand for good X with respect to good Y is +0.8. What is the correct description of good X? 
",9708_m24_qp_12_7.png,,"A inferior good, price-elastic demand and substitute for good Y
B inferior good, price-inelastic demand and complement to good Y
C normal good, price-elastic demand and complement to good Y
D normal good, price-inelastic demand and substitute for good Y ",A,Topic 2: The price system and the microeconomy,AS,9708_m24_qp_12,Difficult,Application,9708_m24_qp_12_7
8,"The diagram shows two straight line demand curves, X and Y. What is correct about curves X and Y?",9708_m24_qp_12_8.png,,"A Both X and Y are unit price elastic over their whole length.
B Both X and Y have the same elasticity at every price.
C X has a higher price elasticity than Y at every price.
D Y is more likely to have substitutes than X. ",C,Topic 2: The price system and the microeconomy,AS,9708_m24_qp_12,Medium,Analysis,9708_m24_qp_12_8
9,"The price elasticity of the supply of yoghurt is estimated to be +1.5. If the demand for yoghurt rises and price rises by 20%, how much more will be supplied to the market?",9708_m24_qp_12_9.png,,"A 0.3% 
B 3.0% 
C 13.3% 
D 30% ",D,Topic 2: The price system and the microeconomy,AS,9708_m24_qp_12,Medium,Application,9708_m24_qp_12_9
10,Butter is a normal good. It is in joint demand with bread and in joint supply with buttermilk. The demand for butter increases because of a rise in consumer incomes. What are the effects of this increase on the prices of bread and buttermilk? ,9708_m24_qp_12_10.png,,"A
B
C
D",C,Topic 2: The price system and the microeconomy,AS,9708_m24_qp_12,Medium,Analysis,9708_m24_qp_12_10
11,"The diagram shows a competitive market in equilibrium with price P and quantity Q sold. Which area represents the producer surplus? 
",9708_m24_qp_12_11.png,,"A PWU 
B PVW 
C OUWQ 
D OPWQ",A,Topic 2: The price system and the microeconomy,AS,9708_m24_qp_12,Medium,Analysis,9708_m24_qp_12_11
12,A policy that aims to reduce the degree of inequality of income will also reduce the level of employment in a country. What is most likely to be such a policy? ,9708_m24_qp_12_12.png,,"A The effective minimum wage is increased by 25%.
B The rate of income tax paid by the lowest band of earners is reduced.
C The government increases the level of subsidies given to producers of some merit goods.
D The government provides more goods that are regarded as essential. ",A,Topic 5: Government macroeconomics intervention,AS,9708_m24_qp_12,Difficult,Evaluation,9708_m24_qp_12_12
13,What explains the underconsumption of merit goods?,9708_m24_qp_12_13.png,,"A Their value is not fully understood by consumers.
B They are unproductive goods and services.
C They can only be provided by the government.
D They are only provided by private sector businesses. ",A,Topic 3: Government microeconomic intervention,AS,9708_m24_qp_12,Easy,Understanding,9708_m24_qp_12_13
14,"A country uses an income tax under which the first $10 000 of income is tax-free, the next $20 000 is taxed at 20% and any income over $30 000 is taxed at a top rate of 40%. It also levies a sales tax of 10% on most products.
Which combination of tax changes is most likely to create a more equal distribution of income in the country? 
",9708_m24_qp_12_14.png,,"A
B
C
D",B,Topic 3: Government microeconomic intervention,AS,9708_m24_qp_12,Difficult,Analysis,9708_m24_qp_12_14
15,"The table shows real GDP expressed as an index number in each quarter of 2021. What can be concluded from the table? 
",9708_m24_qp_12_15.png,,"A Inflation reduced the real value of GDP in the first six months of 2021.
B Real GDP was lower at the end of 2021 than 2020.
C The economy was in recession at the end of the first six months of 2021.
D The standard of living was higher at the end of 2021 than in 2020. ",C,Topic 4: The macroeconomy,AS,9708_m24_qp_12,Medium,Analysis,9708_m24_qp_12_15
16,What is least likely to cause a simultaneous increase in demand-pull and cost-push inflation?,9708_m24_qp_12_16.png,,"A depreciation of currency
B increased import tariffs
C decreased spending on infrastructure
D increased wages",C,Topic 4: The macroeconomy,AS,9708_m24_qp_12,Medium,Understanding,9708_m24_qp_12_16
17,"According to the circular flow of income, what would be the immediate result of an increase in the value of a country’s exports? 
",9708_m24_qp_12_17.png,,"A imports would increase
B national income would increase
C savings would increase
D taxes would increase ",B,Topic 4: The macroeconomy,AS,9708_m24_qp_12,Medium,Understanding,9708_m24_qp_12_17
18,"To calculate the unemployment rate, the number unemployed is related to ",9708_m24_qp_12_18.png,,"A the total adult population aged 18–65.
B the number of unemployed who are seeking work.
C the total number in full-time employment.
D the total population in the labour force. ",D,Topic 4: The macroeconomy,AS,9708_m24_qp_12,Easy,Recall,9708_m24_qp_12_18
19,Aggregate demand in an economy may decrease as a result of an increase in ,9708_m24_qp_12_19.png,,"A consumption expenditure.
B government expenditure.
C import expenditure.
D investment expenditure. ",C,Topic 4: The macroeconomy,AS,9708_m24_qp_12,Medium,Understanding,9708_m24_qp_12_19
20,A government has a balanced budget. It decides to increase its spending by 10%. Which increase in government revenue would produce a budget surplus?,9708_m24_qp_12_20.png,,"A –10% 
B 0% 
C +10% 
D +20% ",D,Topic 5: Government macroeconomics intervention,AS,9708_m24_qp_12,Medium,Application,9708_m24_qp_12_20
21,"An economy has an unemployment rate of 8%, an increase of 2% from the previous year. At the same time, the current account deficit rose from 3% of GDP to 4% of GDP. What would be most likely to reduce both unemployment and the current account deficit? ",9708_m24_qp_12_21.png,,"A decrease government spending
B depreciation of the currency
C increase indirect taxation
D increase interest rates ",B,Topic 5: Government macroeconomics intervention,AS,9708_m24_qp_12,Difficult,Evaluation,9708_m24_qp_12_21
22,The diagram shows aggregate demand (AD) curves for an economy. Which combination is most likely to have caused the shift from AD1 to AD2?,9708_m24_qp_12_22.png,9708_m24_qp_12_22_1,"A
B
C
D",D,Topic 4: The macroeconomy,AS,9708_m24_qp_12,Medium,Analysis,9708_m24_qp_12_22
23,What can be considered an expansionary supply-side policy? ,9708_m24_qp_12_23.png,,"A an increase in government expenditure on training
B an increase in sales tax
C an increase in the rate of interest
D an increase of the exchange rate ",A,Topic 5: Government macroeconomics intervention,AS,9708_m24_qp_12,Medium,Understanding,9708_m24_qp_12_23
24,"The table indicates the factor inputs required to produce wheat and cars in countries X and Y. What makes it possible for both countries to benefit from trade? 
",9708_m24_qp_12_24.png,,"A Country X has an absolute advantage in wheat and car production.
B Country Y has an absolute advantage in wheat and car production.
C Country Y has a comparative advantage in wheat production.
D Opportunity cost of wheat and car production is the same between countries. ",C,Topic 6: International economic issues,AS,9708_m24_qp_12,Difficult,Analysis,9708_m24_qp_12_24
25,A government decides to allow the country’s currency to depreciate to remove the deficit on its current account of the balance of payments. What is the most likely reason why this would not work? ,9708_m24_qp_12_25.png,,"A The country gains a competitive advantage from the depreciation.
B The country has a surplus on its capital and financial accounts.
C The price elasticities of demand for the country’s exports and imports are greater than one.
D There are high trade barriers with the country’s main trading partners. ",D,Topic 6: International economic issues,AS,9708_m24_qp_12,Difficult,Evaluation,9708_m24_qp_12_25
26,When must the terms of trade of a country change?,9708_m24_qp_12_26.png,,"A when the volume of exports falls and the volume of imports rises
B when the total value of exports falls and the total value of imports rises
C when the balance of trade in goods moves from deficit to surplus
D when the average price of exports rises and the average price of imports falls ",D,Topic 6: International economic issues,AS,9708_m24_qp_12,Easy,Recall,9708_m24_qp_12_26
27,The table shows an extract from a country’s balance of payments. What is the current account balance? ,9708_m24_qp_12_27.png,,"A –$10bn 
B –$15bn 
C –$30bn 
D –$50bn ",B,Topic 6: International economic issues,AS,9708_m24_qp_12,Medium,Application,9708_m24_qp_12_27
28,The table shows the goods balance and services balance for a country in selected years. Between which years did the overall goods and services balance change the most?,9708_m24_qp_12_28.png,,"A 2015–2016 
B 2016–2017 
C 2017–2018 
D 2018–2019 ",B,Topic 6: International economic issues,AS,9708_m24_qp_12,Medium,Application,9708_m24_qp_12_28
29,"The diagram shows the market for both domestic and imported computers for an economy. The world price is p1. Which government policy would lead to a price of p2? 
",9708_m24_qp_12_29.png,,"A an embargo on imports
B an exchange rate appreciation
C a subsidy to domestic producers
D a tariff on imports 
",D,Topic 3: Government microeconomic intervention,AS,9708_m24_qp_12,Medium,Analysis,9708_m24_qp_12_29
30,What is not a likely cause of a deficit in the current account of the balance of payments?,9708_m24_qp_12_30.png,,"A Consumer spending is low.
B Primary incomes in the form of investment income are low.
C The rate of exchange is high.
D Wage costs of production are high. ",A,Topic 6: International economic issues,AS,9708_m24_qp_12,Difficult,Evaluation,9708_m24_qp_12_30
1,"A worker earns $40 per hour. Rather than work, she decides to visit a museum for three hours. The visit costs a total of $40. What is the opportunity cost of visiting the museum?",9708_s24_qp_11_1.png,,"A $40 
B $80 
C $120 
D $160 ",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_s24_qp_11,Easy,Application,9708_s24_qp_11_1
2,"The nature of a typical car assembly plant has changed. The industry has fewer firms, operates on larger sites and has more automated machinery. How is this change most likely to have affected the relative use of factors of production in the industry?",9708_s24_qp_11_2.png,,"A
B
C
D",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_s24_qp_11,Medium,Analysis,9708_s24_qp_11_2
3,Which item would be least likely to be classed as land? ,9708_s24_qp_11_3.png,,"A fertilisers
B fisheries
C forests
D coal ",A,Topic 1: Basic economic ideas and resource allocation,AS,9708_s24_qp_11,Easy,Recall,9708_s24_qp_11_3
